taxonID,scientificName,taxonRank,vernacularName
https://waarnemingen.be/species/100246,Lampropeltis getula,species,Koningsslang
https://waarnemingen.be/species/10041,Procyon lotor,species,Gewone Wasbeer
https://waarnemingen.be/species/10082,Chelydra serpentina,species,Bijtschildpad
https://waarnemingen.be/species/10083,Procambarus clarkii,species,Rode Amerikaanse rivierkreeft
https://waarnemingen.be/species/10086,Micropogonias undulatus,species,Knorrepos
https://waarnemingen.be/species/10087,Neogobius melanostomus,species,Zwartbekgrondel
https://waarnemingen.be/species/1013821,Naupactus xanthographus,species,Zuid-Amerikaanse fruitboomsnuitkever
https://waarnemingen.be/species/1014017,Limacus maculatus,species,Groene aardslak
https://waarnemingen.be/species/1015687,Cairina moschata var. domestica,forma,Gedomesticeerde Muskuseend
https://waarnemingen.be/species/101874,Elaphe taeniura,species,Prachtslang
https://waarnemingen.be/species/102052,Pelodiscus sinensis,species,Chinese weekschildpad
https://waarnemingen.be/species/1020850,Ophelimus maskelli,species,Eucalyptusgalwesp
https://waarnemingen.be/species/1021662,Heleobia charruana,species,Zuid-Amerikaans brakwaterhorentje
https://waarnemingen.be/species/1025460,Aedes koreicus,species,Koreaanse bosmug
https://waarnemingen.be/species/102592,Pseudemys concinna,species,Hiëroglyfensierschildpad
https://waarnemingen.be/species/102594,Pseudemys nelsoni,species,Florida roodbuikschildpad
https://waarnemingen.be/species/102748,Python regius,species,Koningspython
https://waarnemingen.be/species/1032878,Badumna longinqua,species,Australische Huisspin
https://waarnemingen.be/species/1033994,Armadillidium arcangelii,species,Kleine oproller
https://waarnemingen.be/species/103822,Thamnophis sirtalis,species,Gewone kousenbandslang
https://waarnemingen.be/species/1039643,Litylenchus crenatae mccannii,subspecies,Beukenbladziekte
https://waarnemingen.be/species/104570,Branta canadensis canadensis,subspecies,Atlantische Canadese Gans
https://waarnemingen.be/species/104572,Ictalurus punctatus,species,Kanaalmeerval
https://waarnemingen.be/species/104573,Sceliphron caementarium,species,Amerikaanse langsteelgraafwesp
https://waarnemingen.be/species/104661,Bos taurus,species,Gedomesticeerde Koe
https://waarnemingen.be/species/105015,Lophonetta specularioides,species,Andeseend
https://waarnemingen.be/species/105295,Aphis nerii,species,Oleanderbladluis
https://waarnemingen.be/species/105563,Schistocerca gregaria,species,Woestijnsprinkhaan
https://waarnemingen.be/species/105737,Gryllomorpha dalmatina,species,Spleetkrekel
https://waarnemingen.be/species/105796,Cyrtaspis scutata,species,Schildboomsprinkhaan
https://waarnemingen.be/species/106259,Yersinella raymondii,species,Tweekleurige kreupelhoutsabel
https://waarnemingen.be/species/106283,Oedaleus decorus,species,Kruissprinkhaan
https://waarnemingen.be/species/106649,Sinanodonta woodiana,species,Chinese vijvermossel
https://waarnemingen.be/species/106671,Branta canadensis/hutchinsii x Branta leucopsis,hybrid,Hybride Canadese Gans onbekend x Brandgans
https://waarnemingen.be/species/106837,Samia cynthia,species,Hemelboomvlinder
https://waarnemingen.be/species/110,Branta canadensis,species,Grote Canadese Gans
https://waarnemingen.be/species/116,Psittacula krameri,species,Halsbandparkiet
https://waarnemingen.be/species/1177530,Taeniopygia castanotis / guttata,multispecies,Zebravink
https://waarnemingen.be/species/1177565,Aceria kuko,species,Boksdoornmijt
https://waarnemingen.be/species/1177732,Aurelia coerulea,species,Aziatische oorkwal
https://waarnemingen.be/species/1185811,Lepisma saccharinum,species,Zilvervisje
https://waarnemingen.be/species/1188757,Lophodytes cucullatus x Aix sponsa,hybrid,Hybride Kokardezaagbek x Carolina-eend
https://waarnemingen.be/species/1195231,Ctenolepisma calvum,species,Spookzilvervisje
