taxonID,scientificName,taxonRank,vernacularName
https://waarnemingen.be/species/1003080,Dryopteris filix-mas,cultivar,Mannetjesvaren (cultivar)
https://waarnemingen.be/species/10040,Phuopsis stylosa,species,Kruisjesbloem
https://waarnemingen.be/species/10049,Malva sylvestris (cultivar),cultivar,Tuinkaasjeskruid
https://waarnemingen.be/species/10050,Nymphaea marliacea,species,Roze waterlelie
https://waarnemingen.be/species/10064,Chaerophyllum aureum,species,Gouden ribzaad
https://waarnemingen.be/species/10065,Artemisia verlotiorum,species,Herfstalsem
https://waarnemingen.be/species/10071,Aronia x prunifolia (A. arbutifolia x A. melanocarpa),hybrid,Appelbes
https://waarnemingen.be/species/10093,Silene coronaria,species,Prikneus
https://waarnemingen.be/species/1013825,Heterobasidion irregulare,species,Dennenmoordenaar
https://waarnemingen.be/species/1013890,Rhus typhina (cultivar),cultivar,Azijnboom (cultivar)
https://waarnemingen.be/species/1013891,Tanacetum parthenium (cultivar),cultivar,Moederkruid (cultivar)
https://waarnemingen.be/species/1013954,Cytisus scoparius (cultivar),cultivar,Brem (cultivar)
https://waarnemingen.be/species/1013955,Achillea millefolium (cultivar),cultivar,Duizendblad (cultivar)
https://waarnemingen.be/species/1013972,Asplenium scolopendrium (cultivar),cultivar,Tongvaren (cultivar)
https://waarnemingen.be/species/1014058,Myriophyllum rubricaule,species,Rossig vederkruid
https://waarnemingen.be/species/1014354,Acorus calamus (cultivar),cultivar,Kalmoes (cultivar)
https://waarnemingen.be/species/1014355,Aegopodium podagraria (cultivar),cultivar,Zevenblad (cultivar)
https://waarnemingen.be/species/1014356,Armeria maritima (cultivar),cultivar,Engels gras (cultivar)
https://waarnemingen.be/species/1014561,Fagus sylvatica (cultivar),cultivar,Beuk (cultivar)
https://waarnemingen.be/species/1015216,Ilex aquifolium (cultivar),cultivar,Hulst (cultivar)
https://waarnemingen.be/species/1015283,Buxus sempervirens (cultivar),cultivar,Buxus (cultivar)
https://waarnemingen.be/species/1015313,Crataegus spec. (cultivar),cultivar,Meidoorn spec. (cultivar)
https://waarnemingen.be/species/1015359,Chelidonium majus (cultivar),cultivar,Stinkende gouwe (cultivar)
https://waarnemingen.be/species/1015376,Dryopteris affinis (cultivar),cultivar,Geschubde mannetjesvaren (cultivar)
https://waarnemingen.be/species/1015857,Alnus glutinosa (cultivar),cultivar,Zwarte els (cultivar)
https://waarnemingen.be/species/1016025,Pseudoturritis turrita,species,Torenscheefkelk
https://waarnemingen.be/species/1020820,Vinca minor (cultivar),cultivar,Kleine maagdenpalm (cultivar)
https://waarnemingen.be/species/1020986,Corydalis solida (cultivar),cultivar,Vingerhelmbloem (cultivar)
